,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,90,CL,1563115272,85,-53.16,-70.91,32.0,6.93
1,Rikitea,7,PF,1563115273,85,-23.12,-134.97,74.39,16.44
2,Hobart,75,AU,1563115278,70,-42.88,147.33,42.8,10.29
3,Nanortalik,98,GL,1563115279,89,60.14,-45.24,40.37,4.92
4,Buala,100,SB,1563115280,85,-8.15,159.59,76.55,4.47
5,Victoria,75,BN,1563115018,83,5.28,115.24,80.6,4.7
6,Viedma,100,AR,1563115283,42,-40.81,-62.99,52.25,14.05
7,Saint-Philippe,75,CA,1563115284,73,45.36,-73.48,75.99,3.36
8,Fiumicino,20,IT,1563115286,51,41.77,12.23,90.0,12.75
9,Gizo,0,IL,1563115287,58,31.8,34.94,84.99,10.29
10,Sao Filipe,86,CV,1563115288,85,14.9,-24.5,74.03,11.05
11,Margate,75,AU,1563115290,70,-43.03,147.26,42.8,10.29
12,Qaanaaq,25,GL,1563115291,58,77.48,-69.36,46.13,13.56
13,Vaini,75,IN,1563115292,94,15.34,74.49,77.0,4.7
14,Tasiilaq,100,GL,1563115294,81,65.61,-37.64,44.6,6.93
15,Usinsk,69,RU,1563115295,60,66.0,57.56,68.99,13.6
16,Malanje,75,AO,1563115297,74,-9.54,16.35,82.4,3.36
17,Matamoros,1,US,1563115298,79,25.87,-97.51,89.01,12.75
18,Lompoc,90,US,1563115059,93,34.64,-120.46,59.0,1.25
19,Albany,40,US,1563115169,54,42.65,-73.75,82.99,12.75
20,Saint-Francois,0,FR,1563115302,36,46.42,3.91,77.0,10.29
21,Avarua,0,CK,1563115303,77,-21.21,-159.78,66.2,1.12
22,Busselton,30,AU,1563115305,60,-33.64,115.35,48.0,19.53
23,Ushuaia,40,AR,1563115306,96,-54.81,-68.31,37.4,5.82
24,Puerto Ayora,20,EC,1563115307,73,-0.74,-90.35,73.4,12.75
25,Camacha,40,PT,1563115309,78,33.08,-16.33,77.0,16.11
26,College,1,US,1563115311,93,64.86,-147.8,55.4,4.7
27,Bijie,100,CN,1563115312,90,27.3,105.3,64.13,2.24
28,Constantine,20,DZ,1563115314,34,36.36,6.61,95.0,16.11
29,Visnes,0,NO,1563115315,67,59.36,5.22,61.0,24.16
30,Jamestown,56,AU,1563115316,95,-33.21,138.6,44.87,9.06
31,The Valley,40,AI,1563115317,62,18.22,-63.06,87.8,14.99
32,Geraldton,75,CA,1563115320,56,49.72,-86.95,69.8,10.29
33,Severo-Kurilsk,79,RU,1563115321,91,50.68,156.12,43.97,10.87
34,Jiangyou,100,CN,1563115322,85,31.78,104.73,66.11,1.57
35,Kapaa,75,US,1563115324,83,22.08,-159.32,78.8,11.41
36,Tiksi,4,RU,1563115325,74,71.64,128.87,40.55,3.74
37,Alice Springs,0,AU,1563115326,52,-23.7,133.88,41.0,6.93
38,La Palma,49,CO,1563115328,71,5.36,-74.39,78.71,3.76
39,Mataura,71,NZ,1563115329,78,-46.19,168.86,41.99,9.15
40,East London,0,ZA,1563115147,50,-33.02,27.91,75.2,1.12
41,Cape Town,40,ZA,1563115332,67,-33.93,18.42,62.01,11.41
42,Kulhudhuffushi,100,MV,1563115333,73,6.62,73.07,83.93,8.99
43,Bredasdorp,33,ZA,1563115334,52,-34.53,20.04,68.0,13.87
44,Tsubata,75,JP,1563115336,88,36.67,136.73,72.0,2.24
45,Yellowknife,20,CA,1563115245,76,62.45,-114.38,57.2,4.7
46,Castro,75,CL,1563115339,93,-42.48,-73.76,44.6,9.17
47,Norman Wells,75,CA,1563115260,76,65.28,-126.83,55.4,2.24
48,Tuktoyaktuk,75,CA,1563115341,82,69.44,-133.03,55.4,4.7
49,Faanui,97,PF,1563115343,75,-16.48,-151.75,79.07,12.35
50,Georgetown,75,GY,1563115079,70,6.8,-58.16,86.0,6.93
51,Hermanus,44,ZA,1563115346,79,-34.42,19.24,62.01,7.0
52,Paso de los Toros,0,UY,1563115347,73,-32.81,-56.52,52.25,6.06
53,Bluff,59,AU,1563115348,50,-23.58,149.07,46.85,6.17
54,Nikolskoye,40,RU,1563115349,42,59.7,30.79,66.2,11.18
55,Vanimo,15,PG,1563115351,77,-2.67,141.3,82.85,8.5
56,Teshie,40,GH,1563115352,66,5.58,-0.11,84.2,12.75
57,Carnarvon,0,ZA,1563115354,15,-30.97,22.13,67.91,16.98
58,Bethel,90,US,1563115355,100,60.79,-161.76,57.2,4.7
59,Saint George,40,GR,1563115357,45,39.45,22.34,82.4,14.99
60,Doctor Arroyo,60,MX,1563115358,61,23.67,-100.18,71.33,2.01
61,Touros,0,BR,1563115360,80,-5.2,-35.46,79.43,16.49
62,Ouargaye,17,BF,1563115361,39,11.5,0.06,92.57,5.08
63,Razdolinsk,37,RU,1563115362,58,58.42,94.62,61.61,5.99
64,Tonekabon,90,IR,1563115151,94,36.82,50.88,75.2,4.47
65,Cao Bang,100,VN,1563115365,98,22.67,106.25,72.23,0.56
66,Port-Cartier,90,CA,1563115366,100,50.03,-66.88,57.99,8.05
67,New Norfolk,75,AU,1563115367,70,-42.78,147.06,42.8,10.29
68,Kavaratti,100,IN,1563115369,73,10.57,72.64,83.39,16.69
69,Cidreira,100,BR,1563115370,84,-30.17,-50.22,55.49,8.19
70,Atuona,14,PF,1563115371,78,-9.8,-139.03,79.79,17.05
71,Punta Alta,90,AR,1563115373,93,-27.46,-55.82,62.6,4.94
72,Fortuna,90,US,1563115374,93,40.6,-124.16,61.0,12.01
73,Martapura,85,ID,1563115376,85,-3.41,114.85,73.85,9.53
74,Vila,40,IT,1563115377,32,45.18,8.4,87.01,9.17
75,Khatanga,0,RU,1563115378,53,71.98,102.47,56.03,9.37
76,Sinnamary,0,GF,1563115380,72,5.38,-52.96,81.41,7.61
77,Port Blair,100,IN,1563115152,77,11.67,92.75,84.29,22.17
78,Port Elizabeth,1,US,1563115382,66,39.31,-74.98,90.0,9.17
79,Axim,13,GH,1563115383,78,4.87,-2.24,76.91,9.46
80,Saskylakh,0,RU,1563115385,59,71.97,114.09,47.39,11.3
81,Ziro,100,IN,1563115386,99,27.54,93.82,60.35,0.69
82,Butaritari,8,KI,1563115387,68,3.07,172.79,83.57,3.83
83,Dingle,100,PH,1563115389,89,11.0,122.67,74.39,4.56
84,Talnakh,0,RU,1563115390,72,69.49,88.39,64.4,6.71
85,Iqaluit,40,CA,1563115391,81,63.75,-68.52,44.6,9.17
86,Torbay,90,CA,1563115393,93,47.66,-52.73,55.0,11.41
87,Manavgat,40,TR,1563115321,61,36.79,31.44,82.4,8.05
88,Codrington,0,AU,1563115395,86,-28.95,153.24,50.0,9.17
89,Kitui,92,KE,1563115397,54,-1.37,38.02,75.11,10.63
90,Chokurdakh,100,RU,1563115398,91,70.62,147.9,45.95,5.46
91,Hauterive,90,CA,1563115399,93,49.18,-68.27,64.0,3.36
92,Bilibino,82,RU,1563115401,73,68.06,166.44,58.01,7.27
93,Kaitangata,40,NZ,1563115402,77,-46.28,169.85,41.0,5.99
94,Roebourne,0,AU,1563115404,23,-20.77,117.15,66.29,11.54
95,Caxito,0,BR,1563115405,54,-22.65,-42.51,78.8,2.24
96,Souillac,0,FR,1563115406,28,45.6,-0.6,84.2,13.87
97,Paamiut,0,GL,1563115408,89,61.99,-49.67,43.25,12.33
98,Samarai,100,PG,1563115409,96,-10.62,150.67,73.67,10.56
99,Hilo,90,US,1563115410,64,19.71,-155.08,73.4,8.05
100,Sitka,33,US,1563115412,66,37.17,-99.65,79.0,1.99
101,San Isidro,75,CR,1563115413,64,10.02,-84.06,78.8,13.87
102,Luganville,100,VU,1563115415,93,-15.51,167.18,68.63,1.95
103,Mar del Plata,99,AR,1563115416,68,-46.43,-67.52,41.27,4.05
104,Arbazh,26,RU,1563115417,87,57.68,48.31,67.01,1.5
105,Chicacao,75,GT,1563115419,78,14.54,-91.33,78.8,2.93
106,Colquechaca,17,BO,1563115420,16,-18.7,-66.0,45.05,8.37
107,Provideniya,95,RU,1563115422,87,64.42,-173.23,51.35,5.17
108,Kambileyevskoye,75,RU,1563115426,64,43.07,44.75,69.8,4.47
109,Saldanha,0,PT,1563115427,31,41.42,-6.55,88.61,1.83
110,Bambous Virieux,20,MU,1563115429,60,-20.34,57.76,71.6,4.7
111,Vallenar,0,CL,1563115430,22,-28.58,-70.76,66.83,3.62
112,Wanaka,0,NZ,1563115431,92,-44.7,169.14,28.67,5.12
113,Smirnykh,86,RU,1563115433,98,49.74,142.83,50.09,3.51
114,Dina,0,PK,1563115434,57,33.03,73.6,88.97,10.76
115,Buraydah,0,SA,1563115406,15,26.33,43.97,105.8,14.99
116,Moratuwa,20,LK,1563115437,88,6.77,79.88,78.8,2.24
117,Moose Factory,1,CA,1563115439,77,51.26,-80.61,64.4,8.05
118,Bayji,0,IQ,1563115441,11,34.93,43.49,103.01,11.1
119,Rio Grande,75,BR,1563115377,87,-32.03,-52.1,55.4,11.41
120,Barrow,92,AR,1563115443,56,-38.31,-60.23,51.71,8.55
121,Narsaq,40,GL,1563115445,48,60.91,-46.05,62.6,5.82
122,Salinopolis,100,BR,1563115446,79,-0.61,-47.36,81.05,19.26
123,Dikson,81,RU,1563115447,76,73.51,80.55,38.75,14.92
124,Alta Floresta,0,BR,1563115449,40,-9.87,-56.08,89.6,8.05
125,Port Alfred,15,ZA,1563115450,76,-33.59,26.89,68.0,5.01
126,Sao Joao da Barra,0,BR,1563115451,39,-21.64,-41.05,84.2,6.93
127,San Giovanni Rotondo,20,IT,1563115453,30,41.71,15.73,80.6,13.87
128,Nabire,57,ID,1563115454,96,-3.36,135.5,66.65,5.21
129,Beni,89,CD,1563115456,65,0.49,29.47,79.61,0.76
130,Kodiak,1,US,1563115457,69,39.95,-94.76,87.01,4.7
131,Manaus,0,BR,1563115458,74,-3.13,-59.98,86.0,6.93
132,Ewo,100,CG,1563115460,54,-0.88,14.81,83.57,4.59
133,Billund,89,DK,1563115461,82,55.73,9.12,64.0,9.17
134,Esperance,0,AU,1563115462,93,-33.86,121.89,46.4,5.82
135,Cabo San Lucas,5,MX,1563115238,69,22.89,-109.91,87.01,5.82
136,Kysyl-Syr,98,RU,1563115465,56,63.9,122.77,66.29,6.44
137,Gwadar,37,PK,1563115466,85,25.12,62.33,83.57,19.3
138,Hofn,90,IS,1563115468,87,64.25,-15.21,57.2,2.24
139,Muros,20,ES,1563115469,61,42.77,-9.06,82.0,3.36
140,Isangel,98,VU,1563115470,77,-19.55,169.27,74.57,10.49
141,Sorland,75,NO,1563115472,71,67.67,12.69,51.8,11.41
142,Ottumwa,36,US,1563115473,61,41.02,-92.41,84.2,3.36
143,Hithadhoo,34,MV,1563115474,78,-0.6,73.08,83.57,11.36
144,Antalaha,75,MG,1563115476,88,-14.9,50.28,60.35,2.89
145,Kaohsiung,40,TW,1563115477,83,22.62,120.31,84.2,5.82
146,Ribeira Grande,20,PT,1563115482,64,38.52,-28.7,75.2,12.75
147,Lucapa,0,AO,1563115483,15,-8.42,20.74,91.13,7.14
148,Inirida,62,CO,1563115484,71,3.87,-67.92,85.01,1.03
149,Vila Franca do Campo,40,PT,1563115486,78,37.72,-25.43,71.6,6.93
150,Omboue,91,GA,1563115487,86,-1.57,9.26,73.49,13.27
151,Aasiaat,2,GL,1563115488,70,68.71,-52.87,43.79,12.71
152,Coihaique,40,CL,1563115490,93,-45.58,-72.07,35.6,3.56
153,Lebu,75,ET,1563115491,68,8.96,38.73,66.2,11.41
154,Rabo de Peixe,40,PT,1563115492,78,37.8,-25.58,71.6,6.93
155,Aklavik,75,CA,1563115494,87,68.22,-135.01,60.8,2.24
156,Hajdubagos,5,HU,1563115495,60,47.39,21.67,73.4,9.17
157,Magomeni,68,TZ,1563115497,76,-6.8,39.25,73.67,8.16
158,Weihe,66,CN,1563115498,93,32.99,105.33,60.71,2.71
159,Muisne,75,EC,1563115499,88,0.61,-80.02,77.0,9.17
160,Itarema,27,BR,1563115501,50,-2.92,-39.92,88.79,9.06
161,Mount Gambier,40,AU,1563115457,81,-37.83,140.78,50.0,18.34
162,Zemio,81,CF,1563115503,90,5.02,25.13,75.65,6.31
163,Kisangani,61,CD,1563115505,49,0.52,25.21,88.61,1.79
164,Mishan,19,CN,1563115506,90,45.55,131.88,58.55,3.02
165,Kalmunai,100,LK,1563115508,75,7.42,81.82,81.77,1.88
166,Port Moresby,100,PG,1563115509,91,-9.47,147.16,75.65,22.53
167,Aquiraz,40,BR,1563115510,62,-3.9,-38.39,86.0,16.11
168,Guozhen,100,CN,1563115512,91,29.3,113.14,74.57,6.44
169,Berlevag,75,NO,1563115513,81,70.86,29.09,42.8,9.17
170,Kushima,81,JP,1563115514,100,31.5,131.29,71.01,8.01
171,Carnot,98,CF,1563115516,91,4.94,15.87,72.05,9.86
172,Zamora,20,ES,1563115338,39,41.51,-5.74,93.0,3.36
173,Chapais,90,CA,1563115518,76,49.78,-74.86,57.2,11.41
174,Christchurch,85,NZ,1563115520,93,-43.53,172.64,41.0,3.36
175,Vila Velha,40,BR,1563115521,62,-3.71,-38.6,86.0,16.11
176,Taltal,100,CL,1563115522,50,-25.41,-70.49,61.97,6.02
177,Sabya,20,SA,1563115524,63,17.15,42.62,95.0,9.17
178,Doha,0,QA,1563115268,31,25.29,51.53,107.6,17.22
179,Komsomolskiy,92,RU,1563115526,75,67.55,63.78,60.89,10.29
180,Umm Kaddadah,63,SD,1563115527,31,13.6,26.69,92.21,10.51
181,Waddan,0,LY,1563115529,11,29.16,16.14,106.07,9.62
182,Ornskoldsvik,75,SE,1563115531,71,63.29,18.72,68.0,8.05
183,Bela Vista,96,BR,1563115532,42,-22.11,-56.53,79.79,4.88
184,Birao,60,CF,1563115533,53,10.3,22.78,88.79,5.48
185,Santa Rosa,100,AR,1563115535,63,-36.62,-64.29,51.71,6.76
186,Jumla,89,NP,1563115536,90,29.28,82.18,56.21,2.98
187,Takoradi,77,GH,1563115537,64,4.89,-1.75,82.13,5.32
188,Cayenne,75,GF,1563115538,66,4.94,-52.33,86.0,2.24
189,Byron Bay,0,AU,1563115540,57,-28.65,153.62,50.0,9.17
190,Wasilla,40,US,1563115318,71,61.58,-149.44,62.01,6.93
191,Shakawe,0,BW,1563115542,10,-18.36,21.84,77.99,5.79
192,Beloha,40,MG,1563115544,77,-25.17,45.06,65.57,15.17
193,Lata,99,IN,1563115545,96,30.78,78.62,42.89,3.31
194,Nalut,0,LY,1563115547,7,31.86,10.98,111.11,12.44
195,Pontes e Lacerda,0,BR,1563115548,25,-15.23,-59.33,93.47,3.8
196,Ahipara,0,NZ,1563115550,67,-35.17,173.16,58.91,25.46
197,Guadix,20,ES,1563115551,27,37.3,-3.14,89.6,11.41
198,Umm Lajj,0,SA,1563115552,61,25.02,37.27,88.79,12.75
199,Ekhabi,69,RU,1563115554,94,53.51,142.97,51.35,11.79
200,Hami,76,CN,1563115555,14,42.84,93.51,87.89,6.4
201,Thompson,75,CA,1563115327,87,55.74,-97.86,59.0,5.82
202,Sinop,93,TR,1563115557,71,42.03,35.15,72.95,22.73
203,Ullubiyaul,20,RU,1563115559,56,42.59,47.72,73.4,11.18
204,Petropavlovsk-Kamchatskiy,0,RU,1563115560,93,53.05,158.65,50.0,6.71
205,Nizwa,83,OM,1563115562,20,22.93,57.53,95.09,7.94
206,Kruisfontein,23,ZA,1563115563,76,-34.0,24.73,57.11,11.61
207,Yumen,0,CN,1563115564,19,40.29,97.04,81.23,8.84
208,Nuristan,0,UZ,1563115566,15,38.49,65.64,104.0,4.7
209,Mabaruma,33,GY,1563115567,62,8.2,-59.78,84.29,3.04
210,Abu Dhabi,0,AE,1563115510,56,24.47,54.37,98.6,10.29
211,Longyearbyen,40,NO,1563115570,70,78.22,15.63,48.2,8.05
212,Aswan,0,EG,1563115572,7,24.09,32.9,107.69,13.49
213,Labuhan,77,ID,1563115574,91,-2.54,115.51,70.25,1.41
214,Shubarkuduk,55,KZ,1563115575,46,49.15,56.49,83.75,17.98
215,La Romana,40,DO,1563115547,74,18.43,-68.97,86.0,11.41
216,Broome,92,GB,1563115578,72,52.47,1.45,69.01,12.75
217,Tautira,97,PF,1563115579,78,-17.73,-149.15,75.2,11.41
218,Hella,0,BF,1563115580,44,10.47,-3.27,89.87,6.55
219,Anadyr,40,RU,1563115582,93,64.73,177.51,57.2,6.71
220,Krapivinskiy,0,RU,1563115583,46,55.0,86.81,73.4,13.42
221,Avera,1,US,1563115584,69,33.19,-82.53,89.01,5.82
222,Micomeseng,96,GQ,1563115586,97,2.15,10.62,71.69,3.94
223,Cockburn Town,0,TC,1563115587,76,21.46,-71.14,81.77,15.82
224,Arraial do Cabo,0,BR,1563115588,61,-22.97,-42.02,78.8,3.04
225,Ancud,75,CL,1563115590,93,-41.87,-73.83,44.6,9.17
226,Leningradskiy,100,RU,1563115591,95,69.38,178.42,34.61,2.57
227,Skibbereen,20,IE,1563115592,68,51.55,-9.27,68.0,6.93
228,Ponta do Sol,3,BR,1563115594,35,-20.63,-46.0,78.71,5.17
229,Husavik,100,CA,1563115595,94,50.56,-96.99,68.0,5.99
230,Lerwick,75,GB,1563115596,93,60.15,-1.15,53.6,12.75
231,Easton,1,US,1563115598,58,38.77,-76.08,88.0,5.82
232,Jasper,1,US,1563115599,94,33.83,-87.28,82.0,4.45
233,Alta,75,NO,1563115601,66,69.97,23.27,53.6,13.87
234,Hirara,0,JP,1563115602,83,24.8,125.28,84.11,9.64
235,Havelock,75,US,1563115471,78,34.88,-76.9,84.99,2.98
236,Fukue,75,JP,1563115605,88,35.03,136.69,78.01,3.36
237,Aksu,0,KZ,1563115606,35,52.04,76.93,84.2,15.66
238,Clyde River,75,CA,1563115607,87,70.47,-68.59,48.2,19.46
239,Kokstad,0,ZA,1563115375,19,-30.55,29.42,59.09,4.45
240,Yushan,0,CN,1563115610,74,31.68,118.49,78.8,4.47
241,Katsuura,75,JP,1563115611,94,33.93,134.5,73.4,8.05
242,Quba,41,AZ,1563115613,61,41.36,48.51,69.53,6.82
243,Sidi Ali,0,DZ,1563115614,80,36.1,0.42,73.31,15.43
244,Vanavara,100,RU,1563115616,88,60.35,102.28,61.61,5.48
245,Almora,3,IN,1563115617,88,29.6,79.66,66.83,1.66
246,Grindavik,75,IS,1563115618,100,63.84,-22.43,57.2,13.87
247,Lamar,1,US,1563115620,53,38.09,-102.62,73.4,6.93
248,Coos Bay,90,US,1563115382,100,43.37,-124.22,57.99,5.82
249,Tahoua,20,NE,1563115622,39,14.89,5.26,96.8,11.41
250,Sovetskiy,97,RU,1563115624,80,56.76,48.47,68.63,1.81
251,Praia da Vitoria,20,PT,1563115625,69,38.73,-27.07,75.2,8.05
252,Pisco,90,PE,1563115626,30,-13.71,-76.2,71.6,3.36
253,Hilpoltstein,40,DE,1563115627,53,49.19,11.19,73.99,5.82
254,Ust-Maya,1,RU,1563115629,87,60.42,134.54,62.15,2.86
255,Bundaberg,44,AU,1563115630,56,-24.87,152.35,50.0,4.7
256,North Bend,90,US,1563115631,100,43.41,-124.22,60.01,5.82
257,Kahului,1,US,1563115633,73,20.89,-156.47,77.0,11.41
258,Faya,40,SA,1563115634,34,18.39,42.45,93.2,13.87
259,Bichura,100,RU,1563115635,67,50.59,107.6,64.49,4.41
260,Zhigansk,32,RU,1563115637,70,66.77,123.37,56.57,12.41
261,Cootamundra,98,AU,1563115638,89,-34.64,148.03,46.0,5.01
262,Cherskiy,97,RU,1563115639,66,68.75,161.3,43.97,19.82
263,Eyl,100,SO,1563115641,42,7.98,49.82,88.25,20.78
264,Erzin,40,TR,1563115642,45,36.95,36.2,87.8,18.34
265,Salalah,90,OM,1563115643,88,17.01,54.1,80.6,8.05
266,Wanning,75,AT,1563115645,77,48.64,13.53,70.0,2.24
267,Flinders,75,AU,1563115646,58,-34.58,150.85,55.0,28.86
268,Oussouye,75,SN,1563115470,66,12.49,-16.54,89.6,6.93
269,Waingapu,21,ID,1563115529,79,-9.65,120.26,68.63,12.82
270,Santa Fe,81,AR,1563115650,52,-31.62,-60.7,62.01,5.44
271,Gamboma,99,CG,1563115652,54,-1.87,15.88,84.11,3.78
272,Oktyabrskoye,0,RU,1563115653,53,56.73,85.44,78.01,6.71
273,Swan River,21,CA,1563115654,69,52.11,-101.27,70.61,3.76
274,Rurrenabaque,40,BO,1563115656,83,-14.44,-67.53,80.6,2.93
275,Paita,83,PE,1563115657,88,-5.09,-81.11,64.31,13.53
276,Raudeberg,57,NO,1563115658,66,61.99,5.14,60.8,24.16
